#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
OSI参考模型中，负责数据格式转换和加密解密的是：	A. 会话层<br>B. 表示层<br>C. 应用层<br>D. 传输层	B	表示层（Presentation Layer）负责：①数据格式转换（如ASCII↔EBCDIC）；②数据加密/解密；③数据压缩/解压缩。会话层管理会话，应用层提供用户接口，传输层提供端到端可靠传输。	考研408::计算机网络
CLOCK（NRU）算法与LRU算法的本质关系是？	A. CLOCK是LRU的精确实现<br>B. CLOCK是LRU的近似实现，用「最近是否被访问过」近似「最近多久没被访问」<br>C. 两者完全相同，只是名字不同<br>D. CLOCK精度比LRU更高，但开销更大	B	LRU 需要记录每个页面最近一次被访问的时间（每次访问都要更新时间戳，硬件开销大）；CLOCK 只给每页一个访问位，指针循环扫描：遇到访问位为 1 的清 0 并给第二次机会，遇到 0 的淘汰。本质是用 1 位信息近似「最近多久没用过」，精度低但开销小，实际操作系统常用。	考研408::操作系统
采用多级页表后，各级页表都可以离散地存放在不连续的物理块中。（对/错？）	A. 正确<br>B. 错误	A	正确。单级页表是一个一维数组，页号直接作为下标，因此整张页表必须连续存放，大地址空间下需要一大片连续内存。多级页表的上级表项中存放的是下级页表的物理块号（页框号），通过这个间接寻址就能定位到分散存放的下级页表，因此每级页表都可离散存放。	考研408::操作系统
某请求分页系统测得：CPU利用率10%、磁盘交换区利用率99.7%、其他I/O设备利用率5%。以下措施中能显著提高CPU利用率的是？	A. 增大磁盘交换区容量、使用更快速的磁盘交换区<br>B. 增大内存容量、减少多道程序度数<br>C. 增加多道程序度数、使用更快的CPU<br>D. 增大磁盘交换区容量、使用更快的CPU	B	CPU 空闲而磁盘交换区几乎满载，是典型的系统颠簸（Thrashing）：内存不足导致缺页过于频繁，进程都在等页面换入。解决方向是降低缺页率——增大内存容量、减少多道程序度数。增大/加快交换区只是让颠簸更快发生，不减少换页频率；CPU 本来就空闲，提速没有意义。	考研408::操作系统
索引分配方式（如i-node）的主要优势是：	A. 适合顺序访问<br>B. 支持直接访问且不会产生外部碎片<br>C. 不需要额外存储空间<br>D. 只适合小文件	B	索引分配通过索引块（i-node）记录文件所有物理块号，既支持直接访问（随机读写），又不产生外部碎片。缺点是索引块本身需要额外存储空间。Unix的混合索引（直接+一次间接+二次间接+三次间接）兼顾了小文件和大文件。	考研408::操作系统
硬链接和软链接（符号链接）都能对目录创建。（对/错？）	A. 正确<br>B. 错误	B	错误。硬链接不允许对目录创建（避免形成目录环路导致文件系统遍历困难）。软链接可以对目录创建，它只是存储目标路径的字符串，不会增加目标文件的链接计数。删除原文件后硬链接仍可用，但软链接会失效（变为悬空链接）。	考研408::操作系统
空闲磁盘块管理方法中，位示图法的优势是：	A. 占用空间最少<br>B. 容易找到连续的空闲块<br>C. 适合磁盘容量很大的情况<br>D. 修改效率比空闲链表低	B	位示图用一位表示一个盘块的状态（0空闲/1占用），优势在于容易找到连续的空闲块（位图中连续的0），适合连续分配。空闲链表法在找连续块时需要遍历，效率较低。	考研408::操作系统
SPOOLing技术的本质是：	A. 提高CPU速度<br>B. 将独占设备改造为共享设备<br>C. 增加设备数量<br>D. 减少中断次数	B	SPOOLing（假脱机）技术利用磁盘作为缓冲，将独占设备（如打印机）改造为逻辑上的共享设备。每个用户进程都以为自己独占使用设备，实际上输出被暂存到磁盘，由SPOOLing系统统一调度输出。	考研408::操作系统
磁盘调度算法SCAN（电梯算法）与C-SCAN的主要区别是：	A. SCAN只向一个方向移动<br>B. C-SCAN回程时不服务请求<br>C. SCAN不能处理紧急请求<br>D. C-SCAN比SCAN更公平但平均寻道更短	B	SCAN在两个方向上都服务请求（来回都服务），到端点才改变方向；C-SCAN只在一个方向上服务请求，回程时磁头快速回到起点但不服务，使得等待时间更均匀。C-SCAN的等待时间方差更小。	考研408::操作系统
在段页式虚拟存储管理中，若逻辑地址结构为：段号（8位）+ 页号（12位）+ 页内偏移（12位），则每个段表项中至少需要包含哪些信息，且系统最多可支持多少个段？	A. 页表起始地址和页表长度；256个段<br>B. 页表起始地址和段长；256个段<br>C. 物理块号和页表长度；4096个段<br>D. 页表起始地址和页表长度；4096个段	A	段页式中，段表项包含页表起始地址和页表长度（或页数）。段号8位，最多支持2^8=256个段。页号12位，每段最多2^12=4096页。页内偏移12位，页大小为4KB。	考研408::计算机组成原理
某计算机主存容量为4GB（按字节编址），Cache容量为1MB，块大小为64B。若采用4路组相联映射方式，则主存地址中标记（Tag）字段的位数为？	A. 12<br>B. 14<br>C. 16<br>D. 18	B	主存4GB=2³²B，主存地址32位。块大小64B=2⁶B，块内地址6位。Cache1MB=2²⁰B，Cache总块数=2^20/2^6=2^14块。4路组相联，组数=2^14/4=2^12，组索引12位。Tag位数=32-12-6=14位。	考研408::计算机组成原理
