#separator:Tab
#html:true
#columns:题干	选项	答案	解析	标签
用正交变换化实对称矩阵 A 为标准形时，求出重特征值的基础解系后还应做什么？	A. 对同一重根内的向量作施密特正交化，再逐列单位化<br>B. 只做单位化，不必正交化；不同特征值的向量会自动正交<br>C. 直接拿基础解系拼成 Q 即可，实对称矩阵的特征向量自动正交<br>D. 把重根的特征向量全部换成 1/√n 的等分向量	A	流程固定为「基础解系 → 施密特正交化 → 单位化 → 拼 Q → 验 QᵀQ = E」。正交矩阵要求列向量**单位且正交**，缺一不可：不同特征值的特征子空间自动正交，但同一重根的特征子空间内取出的基础解系一般**不正交**，必须手动施密特正交化。	考研数学一::线性代数
正定矩阵的充要条件是：	A. 所有元素都大于0<br>B. 所有主子式大于0<br>C. 所有顺序主子式大于0<br>D. 行列式大于0	C	实对称矩阵A正定 ⟺ 所有顺序主子式>0（Sylvester判据）⟺ 所有特征值>0 ⟺ 正惯性指数=n。注意是'顺序'主子式（从左上角开始的），不是任意主子式。D只是n阶主子式，不够。	考研数学一::线性代数
已知二次型矩阵 A，判断正惯性指数 p、负惯性指数 q 的正确方法是？	A. 数行列式展开式中正项、负项的个数，即得 p、q<br>B. 由特征值的正负个数定 p、q，且 p + q = r(A)<br>C. 数对角线上正元素、负元素的个数，即得 p、q<br>D. 由 A 的秩直接得 p = q = r(A)/2	B	惯性指数由**特征值的正负个数**决定，不是由对角元的符号决定（对角元符号只在矩阵已经是对角矩阵时才等价）。惯性定理：任何可逆线性变换（含配方法）都保持 p、q 不变。先判秩 r：p + q = r，零特征值个数 = n − r。若两行相同或成比例，则 det A = 0、r < n，更不能按对角元符号想当然。	考研数学一::线性代数
用「实对称阵正定 ⇔ 特征值全 > 0」求参数 ε 的范围，遇到 1 + ε·λ₁ > 0 且 λ₁ < 0，正确解是？	A. 无解（λ₁ < 0 时 1 + ε·λ₁ 恒为负）<br>B. ε < −1/λ₁（两边同除负数，不等号必须变向）<br>C. ε > 1/λ₁（把 λ₁ 移过去时忘记取负）<br>D. ε > −1/λ₁（直接移项相除，不等号不变）	B	ε·λ₁ > −1 两边同除 λ₁ < 0 必须**变号**，得 ε < −1/λ₁。取 λ₁ = −2 应得 ε < 1/2；若误写成 ε > −1/λ₁ = 1/2，恰好取到正确范围的补集（ε 越大，最小特征值 1 + ελ₁ 越负）。λ₁ ≥ 0 时对任意 ε > 0 都正定。	考研数学一::线性代数
微分方程 y″ + y = x·cos x 的特解形式应设为	A. x[(ax+b)cos x + (cx+d)sin x]<br>B. (ax+b)cos x + (cx+d)sin x<br>C. x(ax+b)cos x + (cx+d)sin x<br>D. x²[(ax+b)cos x + (cx+d)sin x]	A	特征根 r=±i。右端为 e^(αx)(P_m cos βx + Q_n sin βx)，α=0、β=1，α±iβ=±i 恰是特征根，故 k=1，整体乘 x；l=max(m,n)=1，cos、sin 均配一次完全多项式，故 y*=x[(ax+b)cos x+(cx+d)sin x]。	考研数学一::高等数学
关于非齐次方程 y″+p(x)y′+q(x)y=f(x)（f≠0）的通解，正确的是	A. 等于对应齐次方程的通解<br>B. 等于该非齐次方程的一个特解<br>C. 等于对应齐次方程的通解加上该非齐次方程的一个特解<br>D. 等于该非齐次方程两个特解之和	C	非齐次通解 = 齐次通解 + 非齐次的一个特解。特解只解决「代入右端 f(x)」的问题，还需要齐次通解提供两个独立任意常数才是通解。	考研数学一::高等数学
若 y₁、y₂ 是非齐次线性方程 y″+p(x)y′+q(x)y=f(x) 的两个特解，则 y₁−y₂ 是对应齐次方程 y″+p(x)y′+q(x)y=0 的解。（对/错？）	A. 正确<br>B. 错误	A	把 y₁、y₂ 分别代入方程，两式相减，右端 f(x)−f(x)=0，故差满足齐次方程。这就是「非齐次特解之差是齐次解」的结构性质。	考研数学一::高等数学
特征方程 r²+pr+q=0 有一对共轭复根 r=α±βi，则方程 y″+py′+qy=0 的通解是	A. C₁e^{(α+β)x}+C₂e^{(α−β)x}<br>B. e^{αx}(C₁cos βx+C₂sin βx)<br>C. C₁cos βx+C₂sin βx<br>D. e^{βx}(C₁cos αx+C₂sin αx)	B	共轭复根时取两个实值解 e^{αx}cos βx 与 e^{αx}sin βx，再线性组合即得通解。要点是整体乘 e^{αx}（α 控制增长/衰减），β 控制振荡频率，位置不能互换。	考研数学一::高等数学
设 y₁、y₂ 是二阶齐次线性方程 y″+p(x)y′+q(x)y=0 的两个解，则下列说法正确的是	A. C₁y₁+C₂y₂ 一定是该方程的通解<br>B. y₁ 与 y₂ 线性无关时，C₁y₁+C₂y₂ 才是该方程的通解<br>C. y₁+y₂ 是该方程的通解<br>D. y₁y₂ 是该方程的解	B	齐次线性方程解的结构：解的任意线性组合仍是解；但只有当 y₁、y₂ 线性无关时，C₁y₁+C₂y₂ 才含两个独立任意常数，构成通解（n 阶需 n 个线性无关解）。y₁+y₂ 只是取 C₁=C₂=1 的特例，不含任意常数；乘积 y₁y₂ 一般不满足方程。	考研数学一::高等数学
微分方程 y″ − 2y′ − 3y = 2x 的特解形式应设为	A. ax+b<br>B. ax<br>C. x(ax+b)<br>D. ax²+bx+c	A	特征根 r₁=3、r₂=−1，λ=0 不是特征根故 k=0。右端是一次多项式且不缺项，特解应设同次的完全一次多项式 ax+b。只设 ax 会因为求导后降次而无法匹配常数项，产生矛盾。	考研数学一::高等数学
微分方程 y″ − 2y′ − 3y = x·e^x 的特解形式应设为	A. (ax+b)e^x<br>B. x(ax+b)e^x<br>C. x²(ax+b)e^x<br>D. axe^x	A	特征方程 r²−2r−3=0，得 r₁=3、r₂=−1。右端形如 P₁(x)e^(λx)，λ=1；λ 不是特征根故 k=0，P₁ 是一次多项式，所以 y*=(ax+b)e^x。x(ax+b)e^x 用于 λ 是单根；x²(ax+b)e^x 用于 λ 是二重根；axe^x 次数不足且漏常数项。	考研数学一::高等数学
设 y₁、y₂、y₃ 是二阶非齐次线性方程 y″+p(x)y′+q(x)y=f(x) 的三个互不相同的特解，且对应齐次方程有解，则该非齐次方程的通解是	A. y = C₁y₁ + C₂y₂ + y₃<br>B. y = C₁(y₁−y₃) + C₂(y₂−y₃) + y₃<br>C. y = C₁y₁ + C₂y₂ − y₃<br>D. y = C₁(y₁+y₃) + C₂(y₂+y₃)	B	非齐次通解 = 齐次通解 + 一个特解。要凑齐次解，只能取两个非齐次解之差：y₁−y₃、y₂−y₃ 都是齐次方程的解，再配一个特解 y₃ 即可。C 项符号错，特解前不该带负号；A 项把两个非齐次解直接线性组合，代入左边得到 (C₁+C₂+1)f(x)，一般 ≠ f(x)；D 项里 y₁+y₃ 不是齐次解。	考研数学一::高等数学
设 y₁、y₂ 都是非齐次线性方程 y″+p(x)y′+q(x)y=f(x) 的解，则 y₁ − y₂ 是对应齐次方程 y″+p(x)y′+q(x)y=0 的解。（对/错？）	A. 正确<br>B. 错误	A	把 y₁−y₂ 代入左边，线性算子 L 满足 L(y₁−y₂)=L y₁ − L y₂ = f(x) − f(x) = 0，所以是齐次解。由此可得：三个非齐次解两两之差都给出齐次解，这正是构造通解的抓手。	考研数学一::高等数学
已知 y₁* 是 y″+p(x)y′+q(x)y=f₁(x) 的特解，y₂* 是 y″+p(x)y′+q(x)y=f₂(x) 的特解，则下列结论正确的是	A. y₁* + y₂* 是 y″+p(x)y′+q(x)y = f₁(x) + f₂(x) 的特解<br>B. y₁* + y₂* 是 y″+p(x)y′+q(x)y = f₁(x)·f₂(x) 的特解<br>C. y₁* − y₂* 是 y″+p(x)y′+q(x)y = f₁(x) + f₂(x) 的特解<br>D. y₁* + y₂* 是齐次方程 y″+p(x)y′+q(x)y = 0 的特解	A	叠加原理：L(y₁*+y₂*) = f₁(x)+f₂(x)，右端按「型」相加，所以 A 对。<br>C 项左端是 y₁*−y₂*，右端却是 f₁+f₂：L(y₁*−y₂*) = f₁(x)−f₂(x)，符号对不上，它只是 L(y)=f₁−f₂ 的一个特解。<br>B 项错在乘积——线性算子只尊重「加减」与「常数倍」，f₁·f₂ 拆不开。<br>D 项右端要为 0 才是齐次方程：L(y₁*+y₂*) = f₁+f₂ ≠ 0。	考研数学一::高等数学
对于非齐次线性方程组 Ax=b，若系数矩阵行列式 |A|=0，则根据克莱默法则可直接判定该方程组无解。（对/错？）	A. 正确<br>B. 错误	B	|A|=0 只说明克莱默法则失效，此时 r(A)<n。方程组可能无解，也可能有无穷多解，需进一步判断增广矩阵的秩 r(A|b) 才能确定。	考研数学一::线性代数
设二元函数 \(z = f(x,y)\) 在点 \((x_0, y_0)\) 处可微，则下列结论中错误的是？	A. \(f(x,y)\) 在点 \((x_0, y_0)\) 处连续<br>B. \(f(x,y)\) 在点 \((x_0, y_0)\) 处的偏导数存在<br>C. \(f(x,y)\) 在点 \((x_0, y_0)\) 处的偏导数连续<br>D. \(f(x,y)\) 在点 \((x_0, y_0)\) 处沿任意方向的方向导数存在	C	多元函数可微必连续、偏导数存在、方向导数存在。但可微推不出偏导数连续（偏导数连续是可微的充分不必要条件）。	考研数学一::高等数学
在将一般二元二次方程 \(Ax^2 + Bxy + Cy^2 + Dx + Ey + F = 0\) 化简为标准形并绘图时，关于变换顺序和职责，下列说法正确的是？	A. 先平移消一次项，再正交变换消交叉项<br>B. 正交变换同时处理二次项和一次项<br>C. 必须先正交变换（旋转）消交叉项，再平移（配方）消一次项<br>D. 平移变换会改变二次型矩阵的特征值	C	根据笔记，化简绘图需要两步：正交变换（旋转）消交叉项 + 平移（配方）消一次项。顺序必须是先旋转后平移，二者职责不重叠。	考研数学一::线性代数
在求向量组的极大线性无关组并表示其余向量时，对矩阵进行初等变换的正确做法是？	A. 可以任意混用行变换和列变换<br>B. 只能使用初等行变换<br>C. 只能使用初等列变换<br>D. 必须先列变换再行变换	B	求极大无关组并表示其余向量时，列变换会改变列向量之间的线性表示关系（虽然保秩），因此只能做初等行变换。单纯求秩才可以行列混用。	考研数学一::线性代数
设二维随机变量 \((X,Y)\) 服从二维正态分布，则 \(X\) 与 \(Y\) 相互独立的充要条件是？	A. \(X\) 与 \(Y\) 不相关（即相关系数 \(\rho = 0\)）<br>B. \(X\) 与 \(Y\) 的边缘分布均为标准正态分布<br>C. \(X\) 与 \(Y\) 的协方差不为0<br>D. \(X\) 与 \(Y\) 的联合分布函数等于各自边缘分布函数之和	A	对于二维正态分布，独立与不相关是等价的。因此 \(X\) 与 \(Y\) 独立的充要条件是相关系数 \(\rho = 0\)（即不相关）。	考研数学一::概率论与数理统计
